hr,datetime,activity
53.0,2024-01-01 00:00:00,0
75.0,2024-01-01 00:00:01,0
75.0,2024-01-01 00:00:02,0
71.6,2024-01-01 00:00:03,0
69.5,2024-01-01 00:00:04,0
68.0,2024-01-01 00:00:05,0
66.88,2024-01-01 00:00:06,0
65.89,2024-01-01 00:00:07,0
65.1,2024-01-01 00:00:08,0
64.45,2024-01-01 00:00:09,0
63.92,2024-01-01 00:00:10,0
63.46,2024-01-01 00:00:11,0
63.07,2024-01-01 00:00:12,0
62.73,2024-01-01 00:00:13,0
62.44,2024-01-01 00:00:14,0
62.18,2024-01-01 00:00:15,0
61.94,2024-01-01 00:00:16,0
61.74,2024-01-01 00:00:17,0
61.55,2024-01-01 00:00:18,0
61.38,2024-01-01 00:00:19,0
61.14,2024-01-01 00:00:20,0
61.61,2024-01-01 00:00:21,0
62.0,2024-01-01 00:00:22,0
62.44,2024-01-01 00:00:23,0
62.92,2024-01-01 00:00:24,0
63.44,2024-01-01 00:00:25,0
63.75,2024-01-01 00:00:26,0
64.07,2024-01-01 00:00:27,0
64.37,2024-01-01 00:00:28,0
64.61,2024-01-01 00:00:29,0
64.91,2024-01-01 00:00:30,0
65.15,2024-01-01 00:00:31,0
65.29,2024-01-01 00:00:32,0
65.43,2024-01-01 00:00:33,0
65.56,2024-01-01 00:00:34,0
65.65,2024-01-01 00:00:35,0
65.89,2024-01-01 00:00:36,0
66.1,2024-01-01 00:00:37,0
66.05,2024-01-01 00:00:38,0
66.0,2024-01-01 00:00:39,0
65.95,2024-01-01 00:00:40,0
65.91,2024-01-01 00:00:41,0
65.89,2024-01-01 00:00:42,0
65.87,2024-01-01 00:00:43,0
65.85,2024-01-01 00:00:44,0
65.83,2024-01-01 00:00:45,1
65.81,2024-01-01 00:00:46,1
65.78,2024-01-01 00:00:47,1
65.76,2024-01-01 00:00:48,1
65.75,2024-01-01 00:00:49,1
65.73,2024-01-01 00:00:50,1
65.72,2024-01-01 00:00:51,1
65.72,2024-01-01 00:00:52,1
65.73,2024-01-01 00:00:53,1
65.73,2024-01-01 00:00:54,1
65.74,2024-01-01 00:00:55,1
65.74,2024-01-01 00:00:56,1
65.75,2024-01-01 00:00:57,1
65.75,2024-01-01 00:00:58,1
66.07,2024-01-01 00:00:59,1
66.22,2024-01-01 00:01:00,1
65.35,2024-01-01 00:01:01,1
65.22,2024-01-01 00:01:02,1
65.37,2024-01-01 00:01:03,1
65.5,2024-01-01 00:01:04,1
65.63,2024-01-01 00:01:05,1
65.77,2024-01-01 00:01:06,1
65.92,2024-01-01 00:01:07,1
66.07,2024-01-01 00:01:08,1
66.22,2024-01-01 00:01:09,1
66.37,2024-01-01 00:01:10,1
66.5,2024-01-01 00:01:11,1
66.63,2024-01-01 00:01:12,1
66.75,2024-01-01 00:01:13,1
66.85,2024-01-01 00:01:14,1
66.93,2024-01-01 00:01:15,1
67.0,2024-01-01 00:01:16,1
67.07,2024-01-01 00:01:17,1
67.13,2024-01-01 00:01:18,1
67.2,2024-01-01 00:01:19,1
67.28,2024-01-01 00:01:20,1
67.1,2024-01-01 00:01:21,1
66.93,2024-01-01 00:01:22,1
66.73,2024-01-01 00:01:23,1
66.5,2024-01-01 00:01:24,1
66.23,2024-01-01 00:01:25,1
66.05,2024-01-01 00:01:26,1
65.85,2024-01-01 00:01:27,1
65.65,2024-01-01 00:01:28,1
65.45,2024-01-01 00:01:29,1
65.22,2024-01-01 00:01:30,1
65.17,2024-01-01 00:01:31,1
65.17,2024-01-01 00:01:32,1
65.2,2024-01-01 00:01:33,1
65.25,2024-01-01 00:01:34,1
65.23,2024-01-01 00:01:35,1
65.13,2024-01-01 00:01:36,1
65.05,2024-01-01 00:01:37,1
65.15,2024-01-01 00:01:38,1
65.25,2024-01-01 00:01:39,1
65.35,2024-01-01 00:01:40,1
65.42,2024-01-01 00:01:41,1
65.43,2024-01-01 00:01:42,1
65.45,2024-01-01 00:01:43,1
65.47,2024-01-01 00:01:44,1
65.63,2024-01-01 00:01:45,1
65.85,2024-01-01 00:01:46,1
66.05,2024-01-01 00:01:47,1
66.22,2024-01-01 00:01:48,1
66.37,2024-01-01 00:01:49,1
66.35,2024-01-01 00:01:50,1
66.5,2024-01-01 00:01:51,1
66.63,2024-01-01 00:01:52,1
66.78,2024-01-01 00:01:53,1
66.85,2024-01-01 00:01:54,1
66.92,2024-01-01 00:01:55,1
67.02,2024-01-01 00:01:56,1
67.13,2024-01-01 00:01:57,1
67.25,2024-01-01 00:01:58,1
67.35,2024-01-01 00:01:59,1
67.43,2024-01-01 00:02:00,1
67.57,2024-01-01 00:02:01,1
67.68,2024-01-01 00:02:02,1
67.82,2024-01-01 00:02:03,1
67.95,2024-01-01 00:02:04,1
68.08,2024-01-01 00:02:05,1
68.23,2024-01-01 00:02:06,1
68.65,2024-01-01 00:02:07,1
69.07,2024-01-01 00:02:08,1
69.47,2024-01-01 00:02:09,1
69.85,2024-01-01 00:02:10,1
70.25,2024-01-01 00:02:11,1
70.6,2024-01-01 00:02:12,1
70.95,2024-01-01 00:02:13,1
71.3,2024-01-01 00:02:14,1
71.65,2024-01-01 00:02:15,1
71.98,2024-01-01 00:02:16,1
72.35,2024-01-01 00:02:17,1
72.7,2024-01-01 00:02:18,1
73.03,2024-01-01 00:02:19,1
73.37,2024-01-01 00:02:20,1
73.7,2024-01-01 00:02:21,1
74.02,2024-01-01 00:02:22,1
74.3,2024-01-01 00:02:23,1
74.62,2024-01-01 00:02:24,1
74.92,2024-01-01 00:02:25,1
75.25,2024-01-01 00:02:26,1
75.6,2024-01-01 00:02:27,1
75.97,2024-01-01 00:02:28,1
76.35,2024-01-01 00:02:29,1
76.75,2024-01-01 00:02:30,1
77.02,2024-01-01 00:02:31,1
77.28,2024-01-01 00:02:32,1
77.52,2024-01-01 00:02:33,1
77.73,2024-01-01 00:02:34,1
78.02,2024-01-01 00:02:35,1
78.23,2024-01-01 00:02:36,1
78.42,2024-01-01 00:02:37,1
